	oid	name_org	oc_id	Business	Group	Industry	name_concept	acronym	canon_oid
10040	227482	DEVINE ORGANICS, LLC(DONALD DEVINE)		Uncoded	Uncoded	Uncoded			
10041	227483	DEVITA INC		Uncoded	Uncoded	Uncoded			
10042	227484	DEVON LEE CPA		Uncoded	Uncoded	Uncoded			
10043	227485	DEVON MATHIS FOR ASSEMBLY 2020		Candidate committees	Candidate Contributions	Candidate Committees			
10044	227486	DEVRY EDUCATIONAL GROUP		Schools & colleges	Government Agencies/Education/Other	Education			
10045	227487	DEVRY UNIVERSITY, INC.		Schools & colleges	Government Agencies/Education/Other	Education			
10046	227488	DEWAYNE ZINKIN ATTORNEY AT LAW		Attorneys & law firms	Lawyers & Lobbyists	Lawyers & Lobbyists			
10047	227489	DEXTER WILSON ENGINEERING INC.		Engineering, architecture & construction management services	Construction	Construction Services			
10048	227490	DG PLUMBING		Uncoded	Uncoded	Uncoded			
10049	227491	DGA PAC THE POLITICAL ACTION COMMITTEE OF THE DIRECTORS GUILD OF AMERICA INC FEC ID# C00311944	-4680	Uncoded	Uncoded	Uncoded	Directors Guild Of America, Inc.		358.0
10050	227492	DGA-PAC THE POLITICAL ACTION COMMITTEE OF THE DIRECTORS GUILD OF AMERICA INC. C00311944	-4680	Uncoded	Uncoded	Uncoded	Directors Guild Of America, Inc.		358.0
10051	227493	DGA-PAC, THE P:OLITICAL ACTION COMMITTEE OF THE DIRECTORS GUILD OF AMERICA INC (FEC ID#C00311944)	-4680	Uncoded	Uncoded	Uncoded	Directors Guild Of America, Inc.		358.0
10052	227494	DGA-PAC, THE POLITICAL ACTION COMMITTEE OF DIRECTORS GUILD OF AMERICA	-4680	Uncoded	Uncoded	Uncoded	Directors Guild Of America, Inc.		358.0
10053	227495	DHALIWAL BROS CARRIER, INC.		Uncoded	Uncoded	Uncoded			
10054	227496	DHILLON FARMS		Uncoded	Uncoded	Uncoded			
10055	227497	DHINDSA FARMS		Uncoded	Uncoded	Uncoded			
10056	227498	DHOOT BROS PARTNERSHIP, INC.		Uncoded	Uncoded	Uncoded			
10057	227499	DIABLO VISTA VINEYARDS, LLC		Uncoded	Uncoded	Uncoded			
10058	227500	DIAEGO NORTH AMERICA		Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor			
10059	227501	DIAEGO NORTH AMERICA, INC.		Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor			
10060	227502	DIAGEO / DIAGEO NORTH AMERICA, INC.		Uncoded	Uncoded	Uncoded			
10061	227503	DIAGEO NORTH AMERCIA, INC.		Uncoded	Uncoded	Uncoded			
10062	227504	DIAGEO NORTH AMERICA INC		Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor			
10063	227505	DIAGEO NORTH AMERICAN INC.		Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor			
10064	227506	DIAGEO, INC.		Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor			
10065	227507	DIAGEO-NORTH AMERICA INC.		Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor			
10066	227508	DIAGIO NORTH AMERICA INC.		Wine & distilled spirits manufacturing	General Business	Beer, Wine & Liquor			
10067	227509	DIAMOND 2 LIMITED		Uncoded	Uncoded	Uncoded			
10068	227510	DIAMOND FARMS		Uncoded	Uncoded	Uncoded			
10069	227511	DIAMOND HILLS COLLISION CENTER		Uncoded	Uncoded	Uncoded			
10070	227512	DIAMOND HOTEL		Uncoded	Uncoded	Uncoded			
10071	227513	DIAMOND JEWELRY & LOAN, INC.		Uncoded	Uncoded	Uncoded			
10072	227514	DIAMOND SEAFOOD PALACE LLC( )		Uncoded	Uncoded	Uncoded			
10073	227515	DIAMOND W WESTERN WEAR		Uncoded	Uncoded	Uncoded			
10074	227516	DIANE DIXON FOR ASSEMBLY 2022		Uncoded	Uncoded	Uncoded			
10075	227517	DIANE OLIVA FOR COUNCIL 2015		Uncoded	Uncoded	Uncoded			
10076	227518	DIANI WARD LLC		Uncoded	Uncoded	Uncoded			
10077	227519	DIANNE MARTINEZ FOR CITY COUNCIL 2018		Candidate committees	Candidate Contributions	Candidate Committees			
10078	227520	DIAZ FINANCIAL SERVICES, INC.		Uncoded	Uncoded	Uncoded			
10079	227521	DIBUDUO LAND MANAGEMENT CO., INC		Uncoded	Uncoded	Uncoded			
10080	227522	DICARLO SEAFOOD		Uncoded	Uncoded	Uncoded			
10081	227523	DIESEL FUEL STOP		Uncoded	Uncoded	Uncoded			
10082	227524	DIESEL TECHNOLOGIES		Uncoded	Uncoded	Uncoded			
10083	227525	DIGIDEMS PAC		Democratic joint candidate committees	Candidate Contributions	Joint Candidate Committee			
10084	227526	DIGITAL INSIGHTZ		Uncoded	Uncoded	Uncoded			
10085	227527	DIGNITY CA SEIU-UNITED LONG TERM CARE WORKERS LOCAL 2015	-2869	Health worker unions	Labor	General Trade Unions	Service Employees International Union (SEIU)		99604.0
10086	227528	DILLON & SONS INC.		Uncoded	Uncoded	Uncoded			
10087	227529	DILLON ENTERPRISES INC.		Uncoded	Uncoded	Uncoded			
10088	227530	DILLON N TRAN DO INC		Uncoded	Uncoded	Uncoded			
10089	227531	DILLON N. TRAN, D.O., INC.		Uncoded	Uncoded	Uncoded			
10090	227532	DILLON%26SONS INC.		Uncoded	Uncoded	Uncoded			
10091	227533	DIMARCO ARAUJO MONTEVIDEO ATTORNEYS AT LAW		Uncoded	Uncoded	Uncoded			
10092	227534	DINAPOLI SPECIALTY FOODS LP		Uncoded	Uncoded	Uncoded			
10093	227535	DING DING TV		Uncoded	Uncoded	Uncoded			
10094	227536	DINO SMILES CHILDREN'S COSMETIC DENTISTRY		Uncoded	Uncoded	Uncoded			
10095	227537	DINOS FAMILY RESTAURANT INC.		Uncoded	Uncoded	Uncoded			
10096	227538	DIRECT SERVICE OF AMERICA, LLC		Uncoded	Uncoded	Uncoded			
10097	227539	DIRECT TV, LLC(HAMLIN WADE)		Uncoded	Uncoded	Uncoded			
10098	227540	DIRECTV INC.	-4682	Satellite TV operators	Communications & Electronics	Cable TV	DirectTV, LLC		32826.0
10099	227541	DIRECTV LLC (HAMLIN WADE)	-4682	Uncoded	Uncoded	Uncoded	DirectTV, LLC		32826.0
10100	227542	DIRECTV, LLC(HAMLIN WADE)	-4682	Uncoded	Uncoded	Uncoded	DirectTV, LLC		32826.0
10101	227543	DIRL POESCHEL LAND DEVELOPMENT SERVICES, INC		Uncoded	Uncoded	Uncoded			
10102	227544	DIRTONU, INC		Uncoded	Uncoded	Uncoded			
10103	227545	DIRTY JOE'S CAR WASH		Uncoded	Uncoded	Uncoded			
10104	227546	DISABILITY ACTION COMMITTEE, SPONSORED BY ASSOCIATION OF CALIFORNIA LIFE & HEALTH INSURANCE COMPANIES	-1079	Uncoded	Uncoded	Uncoded	Assn of Ca Life & Health Insurance Companies PAC		31359.0
10105	227547	DISABILITY PAC SPONSORED BY ASSOC. OF CA LIFE & HEALTH INSURANCE COMPANIES	-1079	Accident & health insurance	Finance, Insurance & Real Estate	Insurance	Assn of Ca Life & Health Insurance Companies PAC		31359.0
10106	227548	DISABILITY PAC SPONSORED BY ASSOCIATION FOR CALIFORNIA LIFE & HEALTH INSURANCE COMPANIES	-1079	Accident & health insurance	Finance, Insurance & Real Estate	Insurance	Assn of Ca Life & Health Insurance Companies PAC		31359.0
10107	227549	DISABILITY PAC-ASSOC CAL LIFE & HEALTH INSURANCE		Uncoded	Uncoded	Uncoded			
10108	227550	DISCOUNT FOOD & LIQUOR, INC.		Uncoded	Uncoded	Uncoded			
10109	227551	DISCOUNT GROCERY		Uncoded	Uncoded	Uncoded			
10110	227552	DISCOUNT SIGNS & PRINTING		Uncoded	Uncoded	Uncoded			
10111	227553	DISCOVERY PLAZA VET CLINIC, INC.		Uncoded	Uncoded	Uncoded			
10112	227554	DISH CORPORATE		Uncoded	Uncoded	Uncoded			
10113	227555	DISH NETWORK LLC AND IT'S AFFILIATES		Telecommunications	Communications & Electronics	Telecom Services & Equipment			
10114	227556	DISNEY WORLDWIDE SERVICES		Recreation & entertainment	General Business	Recreation & Live Entertainment			
10115	227557	DISNEY WORLDWIDE SERVICES INC. AND ITS AFFILIATED ENTITIES #478128		Recreation & entertainment	General Business	Recreation & Live Entertainment			
10116	227558	DISNEY WORLDWIDE SERVICES, INC. & AFFILIATED ENTITIES		Recreation & entertainment	General Business	Recreation & Live Entertainment			
10117	227559	DISNEY WORLDWIDE SERVICES, INC. & ITS AFFILIATED ENTITIES		Recreation & entertainment	General Business	Recreation & Live Entertainment			
10118	227560	DISNEY WORLDWIDE SERVICES, INC. / THE WALT DISNEY COMPANY	-12557	Recreation & entertainment	General Business	Recreation & Live Entertainment	Walt Disney Company		12821.0
10119	227561	DISNEY WORLDWIDE SERVICES, INC., AND ITS AFFILIATED ENTITIES		Uncoded	Uncoded	Uncoded			
10120	227562	DISTILLED SPIRITS COUNCIL OF THE UNITED STATES OF AMERICA		Uncoded	Uncoded	Uncoded			
10121	227563	DISTRICT 10 DRYERS, LLC(CHARLEY MATHEWS, JR.)		Uncoded	Uncoded	Uncoded			
10122	227564	DISTRICT 16 INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES	-6686	Uncoded	Uncoded	Uncoded	International Union Of Painters And Allied Trades		5243.0
10123	227565	DISTRICT CALIFORNIA DISTRICT COUNCIL OF LABORERS PAC	-2947	Uncoded	Uncoded	Uncoded	California State Council Of Laborers		433.0
10124	227566	DISTRICT COUNCIL OF IRON WORKERS POLITICAL ACTION LEAGUE SMALL CONTRIBUTOR COMMITTEE	-16040	Construction unions	Labor	General Trade Unions	Iron Workers Of The State Of California		
10125	227567	DITTMER RANCH		Uncoded	Uncoded	Uncoded			
10126	227568	DIVERISIFIED WATERSCAPES, INC.		Uncoded	Uncoded	Uncoded			
10127	227569	DIVERSIFIED DEVELOPMENT GROUP, INC		Uncoded	Uncoded	Uncoded			
10128	227570	DIVERSIFIED UTILITY SERVICES, INC.		Uncoded	Uncoded	Uncoded			
10129	227571	DIVITTORIO CONSTRUCTION INC		Uncoded	Uncoded	Uncoded			
10130	227572	DIXON FOR ASSEMBLY 2020		Uncoded	Uncoded	Uncoded			
10131	227573	DJ TRANS, INC.		Uncoded	Uncoded	Uncoded			
10132	227574	DJ'S PLUMBING		Uncoded	Uncoded	Uncoded			
10133	227575	DJM CAPITAL PARTNERS		Uncoded	Uncoded	Uncoded			
10134	227576	DK & GK INC ELK GROVE SHELL		Uncoded	Uncoded	Uncoded			
10135	227577	DKC ARCHITECTS, INC.		Uncoded	Uncoded	Uncoded			
10136	227578	DL FARM MANAGEMENT, INC.		Uncoded	Uncoded	Uncoded			
10137	227579	DL STOY LOGGING CO.		Uncoded	Uncoded	Uncoded			
10138	227580	DLA PIPER LLP (US) POLITICAL ACTION COMMITTEE (DLA PIPER PAC)		Attorneys & law firms	Lawyers & Lobbyists	Lawyers & Lobbyists			
10139	227581	DLP, LP		Uncoded	Uncoded	Uncoded			
10140	227582	DM CAMP AND SONS		Farmers, in general	Agriculture	Crop Production & Basic Processing			
10141	227583	DMH MEYER, INC.		Uncoded	Uncoded	Uncoded			
10142	227584	DMLS INC. DBA SUSANVILLE SUPERMARKET		Uncoded	Uncoded	Uncoded			
10143	227585	DMP DEVELOPMENT CORPORATION, INC.		Uncoded	Uncoded	Uncoded			
10144	227586	DMW INDUSTRIES, INC.		Uncoded	Uncoded	Uncoded			
10145	227587	DO CONSTRUCTION & DESIGN, INC.		Construction, unclassified	Construction	General Contractors			
10146	227588	DOCPAC - DOCTORS COMPANY PAC		Uncoded	Uncoded	Uncoded			
10147	227589	DOCPAC DOCTORS COMPANY PAC		Uncoded	Uncoded	Uncoded			
10148	227590	DOCPAC THE DOCTOR'S COMPANY PAC		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
10149	227591	DOCTOR'S COMPANY PAC		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
10150	227592	DOCTOR'S COMPANY POLITICAL ACTION		Uncoded	Uncoded	Uncoded			
10151	227593	DOCTOR'S COMPANY POLITICAL ACTION COMMITTEE		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
10152	227594	DOCTORS COMPANY - PAC THE AKA DOCPAC		Uncoded	Uncoded	Uncoded			
10153	227595	DOCTORS COMPANY AKA DOCPAC		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
10154	227596	DOCTORS COMPANY PAC (AKA DOCPAC)		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
10155	227597	DOCTORS COMPANY PAC (DOCPAC)		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
10156	227598	DOCTORS COMPANY PAC (THE AKA DOCPAC)		Uncoded	Uncoded	Uncoded			
10157	227599	DOCTORS COMPANY PAC AKA DOC PAC		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
10158	227600	DOCTORS COMPANY PAC, DOCPAC		Uncoded	Uncoded	Uncoded			
10159	227601	DOCTORS COMPANY PAC, THE AKA DOCPAC		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
10160	227602	DOCTORS COMPANY POLITICAL ACTION COMMITTEE (DOCPAC)		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
10161	227603	DOCTORS COMPANY POLITICAL ACTION THE AKA DOCPAC		Uncoded	Uncoded	Uncoded			
10162	227604	DOCTORS COMPANY, THE AKA DOCPAC		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
10163	227605	DOCTORS' COMPANY PAC		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
10164	227606	DOCTORS' COMPANY PAC AKA (DOCPAC)		Insurance agencies, brokers & agents	Finance, Insurance & Real Estate	Insurance			
10165	227607	DOG HENLEY DELTA DEE, LLC		Uncoded	Uncoded	Uncoded			
10166	227608	DOLAN CONCRETE CONSTRUCTION		Uncoded	Uncoded	Uncoded			
10167	227609	DOMINO FOODS, INC. AS PAYING AGENT FOR C&H SUGAR COMPANY, INC.		Uncoded	Uncoded	Uncoded			
10168	227610	DONAGHY SALES INC		Uncoded	Uncoded	Uncoded			
10169	227611	DONAGHY SALES, INC. / DONAGHY SALES, LLC		Uncoded	Uncoded	Uncoded			
10170	227612	DONAGHY SALES, LLC		Liquor wholesalers	General Business	Beer, Wine & Liquor			
10171	227613	DONAGHY SALES, LLC(RYAN DONAGHY)		Uncoded	Uncoded	Uncoded			
10172	227614	DONALD J. TURANO, CERTIFIED PUBLIC ACCOUNTANT		Accountants	Finance, Insurance & Real Estate	Accountants			
10173	227615	DONALD MIRANDA TRUCKING		Uncoded	Uncoded	Uncoded			
10174	227616	DONALD VALPREDO FARMS, LLC(DONALD VALPREDO)		Uncoded	Uncoded	Uncoded			
10175	227617	DONATO FOR WATER DIRECTOR		Candidate committees	Candidate Contributions	Candidate Committees			
10176	227618	DONAVIN TRIPP ENTERPRISES INC.		Uncoded	Uncoded	Uncoded			
10177	227619	DONG SIK KIM BOOKKEEPING		Uncoded	Uncoded	Uncoded			
10178	227620	DONG SIK KIM TAX & BOOKKEEPING		Uncoded	Uncoded	Uncoded			
10179	227621	DONG SIK KIM TAX AND BOOKKEEPING		Uncoded	Uncoded	Uncoded			
10180	227622	DONG TAM CORP.		Uncoded	Uncoded	Uncoded			
10181	227623	DONNA CHAO, INC.		Uncoded	Uncoded	Uncoded			
10182	227624	DONNA MEYERS FOR SANTA CRUZ CITY COUNCIL 2018		Candidate committees	Candidate Contributions	Candidate Committees			
10183	227625	DOORDASH INC.	-15131	Rideshare & Delivery Apps	Transportation	Miscellaneous Transport	DoorDash Inc.		
10184	227626	DOORDASH, INC	-15131	Rideshare & Delivery Apps	Transportation	Miscellaneous Transport	DoorDash Inc.		
10185	227627	DORSEE PRODUCTIONS INC.		Uncoded	Uncoded	Uncoded			
10186	227628	DORSEE PRODUCTIONS, INC.L		Uncoded	Uncoded	Uncoded			
10187	227629	DOSANJH BROS., LLC		Uncoded	Uncoded	Uncoded			
10188	227630	DOSEN & ASSOCIATES		Uncoded	Uncoded	Uncoded			
10189	227631	DOUG HAUBERT CITY PROCECUTOR 2018		Uncoded	Uncoded	Uncoded			
10190	227632	DOUG HAUBERT FOR CITY PROSECUTOR 2018		Uncoded	Uncoded	Uncoded			
10191	227633	DOUG TABER MEDIA		Uncoded	Uncoded	Uncoded			
10192	227634	DOUGHERTY CPAS INC.		Uncoded	Uncoded	Uncoded			
10193	227635	DOUGLAS AND HICKS LAW		Uncoded	Uncoded	Uncoded			
10194	227636	DOVER II		Uncoded	Uncoded	Uncoded			
10195	227637	DOW INC PAC (DOWPAC)		Uncoded	Uncoded	Uncoded			
10196	227638	DOW INC, POLITICAL ACTION COMMITTEE (DOWPAC) (FED PAC ID# C00074096)		Uncoded	Uncoded	Uncoded			
10197	227639	DOW INC. PAC		Manufacturing	General Business	Miscellaneous Manufacturing & Distributing			
10198	227640	DOW INC. PAC (DOWPAC) (FED PAC ID C00074096)		Uncoded	Uncoded	Uncoded			
10199	227641	DOW INC. POLITICAL ACTION COMMITTEE (DOWPAC)		Uncoded	Uncoded	Uncoded			
10200	227642	DOW INC. POLITICAL ACTION COMMITTEE (DOWPAC) FED PAC ID#C00074096		Uncoded	Uncoded	Uncoded			
10201	227643	DOW, INC. FEDERAL PAC (DOWPAC)		Uncoded	Uncoded	Uncoded			
10202	227644	DOW, INC. PAC (DOWPAC)		Uncoded	Uncoded	Uncoded			
10203	227645	DOW, INC. PAC (DOWPAC) (FEC ID: C00074096)		Uncoded	Uncoded	Uncoded			
10204	227646	DOWNEY / BRAND ATTORNEYS LLP		Attorneys & law firms	Lawyers & Lobbyists	Lawyers & Lobbyists			
10205	227647	DOWNEY FIREMEN'S ASSOCIATION POLITICAL ACTION COMMITTEE		Uncoded	Uncoded	Uncoded			
10206	227648	DOWNEY HOSPITALITY, LLC(DEVANG PATEL)		Uncoded	Uncoded	Uncoded			
10207	227649	DOWNEY HYUNDAI		Uncoded	Uncoded	Uncoded			
10208	227650	DOWNEY NISSAN		Uncoded	Uncoded	Uncoded			
10209	227651	DOWNS ENERGY(MICHAEL DOWNS)		Uncoded	Uncoded	Uncoded			
10210	227652	DOWNTOWN PEKING TAVERN LLC		Uncoded	Uncoded	Uncoded			
10211	227653	DP ELECTRIC		Uncoded	Uncoded	Uncoded			
10212	227654	DP GLOBAL SOLUTIONS LLC(SURENDER DEVOROPALLI)		Uncoded	Uncoded	Uncoded			
10213	227655	DR A NGUYEN DDS		Uncoded	Uncoded	Uncoded			
10214	227656	DR PEPPER SNAPPLE PAC	-15536	Beverages (non-alcoholic)	General Business	Food & Beverage	Keurig Dr Pepper		
10215	227657	DR-GRAPHIX, INC.		Uncoded	Uncoded	Uncoded			
10216	227658	DR. A. NGUYEN DDS, INC		Uncoded	Uncoded	Uncoded			
10217	227659	DR. ARAMBULA FOR ASSEMBLY 2020		Candidate committees	Candidate Contributions	Candidate Committees			
10218	227660	DR. CHANG FOR COUNTY BOARD		Uncoded	Uncoded	Uncoded			
10219	227661	DR. JAOQUIN ARAMBULA FOR ASSEMBLY 2018		Candidate committees	Candidate Contributions	Candidate Committees			
10220	227662	DR. WAYNE M. WHALEN, D.C		Uncoded	Uncoded	Uncoded			
10221	227663	DR. WEBER FOR ASSEMBLY 2018		Candidate committees	Candidate Contributions	Candidate Committees			
10222	227664	DR. WEBER FOR ASSEMBLY 2020		Candidate committees	Candidate Contributions	Candidate Committees			
10223	227665	DR. WENG'S KUNG FU SCHOOL		Uncoded	Uncoded	Uncoded			
10224	227666	DRAFTKINGS INC. (FPPC #1387754)		Casinos, racetracks & gambling	General Business	Gambling & Casinos			
10225	227667	DRAGON USA COMPANY		Uncoded	Uncoded	Uncoded			
10226	227668	DRAKE'S DEALERSHIP		Uncoded	Uncoded	Uncoded			
10227	227669	DREAM CAMP		Uncoded	Uncoded	Uncoded			
10228	227670	DREAM SPACE CONSTRUCITON DREAM PAINTING INC		Uncoded	Uncoded	Uncoded			
10229	227671	DRED BOTTS		Uncoded	Uncoded	Uncoded			
10230	227672	DREISBACH ENTERPRISES, INC.		Uncoded	Uncoded	Uncoded			
10231	227673	DREW MERCY FOR QUART HILL WATER BOARD		Uncoded	Uncoded	Uncoded			
10232	227675	DREYER, BABICH, BUCCOLA, WOOD & CAMPORA, LLP		Attorneys & law firms	Lawyers & Lobbyists	Lawyers & Lobbyists			
10233	227677	DRILLING & PRODUCTION CO.		Oilfield service, equipment & exploration	Energy & Natural Resources	Oil & Gas			
10234	227678	DRIVE	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
10235	227679	DRIVE COMM. - FEC	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
10236	227680	DRIVE COMMITTEE (C00032979)	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
10237	227681	DRIVE COMMITTEE (TEAMSTERS)	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
10238	227682	DRIVE COMMITTEE - FEC	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
10239	227683	DRIVE COMMITTEE - FEC ID# C00032979	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
10240	227684	DRIVE COMMITTEE C00032979	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
10241	227685	DRIVE COMMITTEE FEDERAL	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
10242	227686	DRIVE COMMITTEE FEDERAL PAC	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
10243	227688	DRIVE COMMITTEE-FEC	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
10244	227689	DRIVE DEMOCRAT REPUBLICAN INDEPENDENT VOTER EDUCATION	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
10245	227690	DRIVE FEDERAL COMMITTEE	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
10246	227691	DRIVE FEDERAL PAC	-3042	Teamsters unions	Labor	Transportation Unions	International Brotherhood of Teamsters (IBT)		100456.0
10247	227692	DRIVON CONSULTING INC.		Uncoded	Uncoded	Uncoded			
10248	227693	DRS HOSPITALITY LLC(DEAN SANCHEZ)		Uncoded	Uncoded	Uncoded			
10249	227694	DRUG POLICY ACTION FUND FOR CA		Drug Legalization Advocates	Ideology/Single Issue	Drug Policy			
10250	227695	DRUG POLICY ACTION FUND FOR CALIFORNIA		Drug Legalization Advocates	Ideology/Single Issue	Drug Policy			
10251	227696	DSS COMPANY DBA KNIFE RIVER CONSTRUCTION		Uncoded	Uncoded	Uncoded			
10252	227697	DT STRATEGIES, LLC		Uncoded	Uncoded	Uncoded			
10253	227698	DTC FLOORING		Uncoded	Uncoded	Uncoded			
10254	227699	DTN INVESTMENTS		Uncoded	Uncoded	Uncoded			
10255	227700	DU PONT DE NEMOURS, INC.		Uncoded	Uncoded	Uncoded			
10256	227701	DUANE MARTIN JR. LIVESTOCK		Uncoded	Uncoded	Uncoded			
10257	227702	DUANE MORRIS, LLP FEDERAL GOVERNMENT COMMITTEE STATE & LOCAL FUND		Uncoded	Uncoded	Uncoded			
10258	227703	DUANE ROBERTS AND WHOLLY OWNED CORPORATIONS (ID# 482676)		Uncoded	Uncoded	Uncoded			
10259	227704	DUARTE NURSEY		Uncoded	Uncoded	Uncoded			
10260	227705	DUB BROTHERS MANAGEMENT		Uncoded	Uncoded	Uncoded			
10261	227706	DUB BROTHERS MANAGEMENT, LLC (BARRY WALKER)		Uncoded	Uncoded	Uncoded			
10262	227707	DUC DANG HUY SOLE PROP DBA DUC DANGS KARATE		Uncoded	Uncoded	Uncoded			
10263	227708	DUC H DO MD INC		Uncoded	Uncoded	Uncoded			
10264	227709	DUC H. DO M.D., INC.		Uncoded	Uncoded	Uncoded			
10265	227710	DUFOUR ADVOCACY GROUP, INC		Uncoded	Uncoded	Uncoded			
10266	227711	DUK J. CORPORATION		Uncoded	Uncoded	Uncoded			
10267	227712	DUNKIN' BRANDS		Uncoded	Uncoded	Uncoded			
10268	227713	DUNLEER STRATEGIES INC.		Uncoded	Uncoded	Uncoded			
10269	227714	DUNLEER STRATEGIES, INC		Uncoded	Uncoded	Uncoded			
10270	227715	DUONG FAMILY INVESTMENTS		Uncoded	Uncoded	Uncoded			
10271	227716	DUONG FAMILY INVESTMENTS LLC		Uncoded	Uncoded	Uncoded			
10272	227717	DUPONT GOOD GOV'T FUND		Chemicals	General Business	Chemical & Related Manufacturing			
10273	227718	DUPONT GOOD GOVERNMENT FUND		Chemicals	General Business	Chemical & Related Manufacturing			
10274	227719	DURABAG COMPANY INC.		Uncoded	Uncoded	Uncoded			
10275	227720	DURAND, MCKENNA & BORG		Uncoded	Uncoded	Uncoded			
10276	227721	DURARD MCKENNA & BORG APC		Uncoded	Uncoded	Uncoded			
10277	227722	DURHAM AUTO PARTS		Uncoded	Uncoded	Uncoded			
10278	227723	DUTRA FARMS		Uncoded	Uncoded	Uncoded			
10279	227724	DUTTON PROPERTIES		Uncoded	Uncoded	Uncoded			
10280	227725	DUTTON RANCH		Uncoded	Uncoded	Uncoded			
10281	227726	DWELLY CHIROPRACTIC		Uncoded	Uncoded	Uncoded			
10282	227727	DYNASTY SUITES HOTEL		Uncoded	Uncoded	Uncoded			
10283	227728	E & G LOGGING, INC		Uncoded	Uncoded	Uncoded			
10284	227729	E & M AG SERVICE INC.		Uncoded	Uncoded	Uncoded			
10285	227730	E&B NATURAL RESOURCES MGMT CORP. (FPPC ID# 1287750)		Uncoded	Uncoded	Uncoded			
10286	227731	E&K APRIL 2009 INC		Uncoded	Uncoded	Uncoded			
10287	227732	E&P EMPIRE LOGISTICS, INC.		Uncoded	Uncoded	Uncoded			
10288	227733	E'MIRA TORRES DBA REALTY WORLD REAL ESTATE PROFESSIONALS		Uncoded	Uncoded	Uncoded			
10289	227734	E-W SERVICES		Uncoded	Uncoded	Uncoded			
10290	227735	E-W SERVICES INC		Commercial banks & bank holding companies	Finance, Insurance & Real Estate	Commercial Banks			
10291	227736	E. B. A. & M. CORP.		Uncoded	Uncoded	Uncoded			
10292	227737	E. SING KEO DBA JOY ACUPUNCTURE CLINIC		Uncoded	Uncoded	Uncoded			
10293	227738	E.& J. GALLO WINERY	-4813	Uncoded	Uncoded	Uncoded	E & J Gallo Winery		175.0
10294	227739	E.I. DU PONT DE NEMOURS AND COMPANY DBA CORTEVA AGRISCIENCE		Uncoded	Uncoded	Uncoded			
10295	227740	E.I. DUPONT DE NEMOURS AND COMPANY 2350 CORTEVA AGRISCIENCE US COMPANY		Uncoded	Uncoded	Uncoded			
10296	227741	E.I. DUPONT DE NEMOURS AND COMPANY, INC.		Chemicals	General Business	Chemical & Related Manufacturing			
10297	227742	E.J. HARRISON & SONS INC.		Uncoded	Uncoded	Uncoded			
10298	227743	E.M.E. INC.		Uncoded	Uncoded	Uncoded			
10299	227744	E.P. LEGAL SERVICES, INC.		Uncoded	Uncoded	Uncoded			
10300	227745	E.R SQUIBB & SONS, LLC	-1637	Uncoded	Uncoded	Uncoded	Bristol-Myers Squibb Company		964.0
10301	227746	E.R. SQUIBB & SONS LLC(SARAH SWAN)	-1637	Uncoded	Uncoded	Uncoded	Bristol-Myers Squibb Company		964.0
